Departamento,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
Sololá,Santa Clara La Laguna,"8,823","9,082","9,342","9,604","9,868","10,133","10,398","10,662","10,926","11,189","11,450","11,710","11,965",,,
Sololá,Concepción,"5,824","6,033","6,244","6,459","6,678","6,900","7,124","7,350","7,578","7,809","8,041","8,274","8,507",,,
Sololá,San Andres Semetabaj,"11,809","12,126","12,443","12,761","13,080","13,398","13,715","14,029","14,340","14,649","14,955","15,256","15,552",,,
Sololá,Panajachel,"15,092","15,644","16,206","16,778","17,361","17,953","18,552","19,157","19,769","20,387","21,011","21,638","22,266",,,
Sololá,Santa Catarina Palopó,"4,556","4,818","5,091","5,377","5,675","5,987","6,311","6,648","6,999","7,363","7,741","8,132","8,537",,,
Sololá,San Antonio Palopó,"12,371","12,603","12,830","13,054","13,274","13,490","13,700","13,902","14,099","14,289","14,472","14,647","14,812",,,
Sololá,San Lucas Tolimán,"27,145","27,902","28,662","29,423","30,189","30,956","31,721","32,480","33,234","33,986","34,731","35,467","36,190",,,
Sololá,Santa Cruz La Laguna,"6,133","6,419","6,713","7,016","7,330","7,652","7,983","8,322","8,670","9,027","9,392","9,765","10,145",,,
Sololá,San Pablo La Laguna,"6,861","7,014","7,165","7,315","7,464","7,612","7,757","7,899","8,038","8,174","8,308","8,437","8,562",,,
Sololá,San Marcos La Laguna,"3,496","3,690","3,891","4,101","4,320","4,548","4,784","5,029","5,283","5,546","5,819","6,101","6,391",,,
Sololá,San Juan La Laguna,"10,055","10,304","10,552","10,799","11,047","11,293","11,536","11,776","12,013","12,247","12,477","12,702","12,922",,,
Sololá,San Pedro La Laguna,"10,597","10,793","10,984","11,172","11,358","11,539","11,716","11,886","12,050","12,210","12,363","12,508","12,646",,,
Sololá,Santiago Atitlán,"41,166","42,361","43,561","44,767","45,982","47,201","48,419","49,631","50,839","52,046","53,244","54,431","55,601",,,
Totonicapán,Totonicapán,"120,250","123,697","127,190","130,744","134,373","138,051","141,751","145,448","149,158","152,893","156,630","160,343","164,006",,,
Totonicapán,San Cristóbal Totonicapán,"35,326","36,002","36,675","37,351","38,032","38,711","39,380","40,033","40,674","41,306","41,924","42,520","43,088",,,
Totonicapán,San Francisco el Alto,"57,926","59,774","61,656","63,580","65,551","67,558","69,588","71,629","73,687","75,771","77,869","79,966","82,052",,,
Totonicapán,San Andrés Xecul,"30,272","31,451","32,663","33,912","35,203","36,529","37,883","39,261","40,665","42,101","43,562","45,042","46,532",,,
Totonicapán,Momostenango,"113,120","116,893","120,742","124,682","128,728","132,854","137,037","141,253","145,515","149,840","154,203","158,578","162,941",,,
Totonicapán,Santa María Chiquimula,"43,562","44,775","46,003","47,252","48,525","49,814","51,110","52,401","53,696","54,997","56,297","57,587","58,856",,,
Totonicapán,Santa Lucía la Reforma,"18,862","19,677","20,519","21,391","22,296","23,231","24,191","25,174","26,182","27,217","28,277","29,358","30,454",,,
Totonicapán,San Bartolo,"14,432","15,383","16,389","17,456","18,590","19,789","21,054","22,385","23,786","25,263","26,816","28,445","30,147",,,
Quetzaltenango,Quetzaltenango,"143,321","145,637","147,968","150,334","152,743","155,163","157,559","159,898","162,200","164,486","166,723","168,880","170,926",,,
Quetzaltenango,Salcajá,"17,191","17,535","17,883","18,238","18,600","18,967","19,332","19,694","20,053","20,413","20,768","21,117","21,454",,,
Quetzaltenango,Olintepeque,"29,485","30,522","31,591","32,698","33,844","35,024","36,231","37,457","38,708","39,989","41,292","42,609","43,933",,,
Quetzaltenango,San Carlos Sija,"32,919","33,579","34,246","34,927","35,622","36,325","37,027","37,720","38,409","39,100","39,783","40,451","41,098",,,
Quetzaltenango,Sibilia,"7,922","7,954","7,986","8,018","8,050","8,081","8,109","8,132","8,151","8,168","8,182","8,190","8,191",,,
Quetzaltenango,Cabricán,"23,292","23,878","24,474","25,085","25,713","26,351","26,994","27,637","28,283","28,935","29,587","30,235","30,872",,,
Quetzaltenango,Cajolá,"10,031","10,073","10,114","10,155","10,196","10,236","10,272","10,302","10,327","10,349","10,367","10,377","10,379",,,
Quetzaltenango,San Miguel Siguilá,"8,528","8,831","9,143","9,466","9,801","10,146","10,498","10,857","11,223","11,598","11,979","12,365","12,753",,,
Quetzaltenango,San Juan Ostuncalco,"48,297","49,338","50,393","51,470","52,572","53,687","54,805","55,913","57,019","58,128","59,231","60,315","61,369",,,
Quetzaltenango,San Mateo,"8,086","8,600","9,145","9,725","10,341","10,995","11,686","12,412","13,178","13,987","14,839","15,732","16,665",,,
Quetzaltenango,Concepción Chiquirichapa,"17,341","17,558","17,774","17,993","18,215","18,437","18,654","18,862","19,064","19,263","19,454","19,635","19,800",,,
Quetzaltenango,San Martín Sacatepéquez,"24,193","24,700","25,213","25,737","26,273","26,814","27,357","27,893","28,428","28,965","29,497","30,019","30,525",,,
Quetzaltenango,Almolonga,"16,436","16,808","17,186","17,573","17,968","18,369","18,772","19,173","19,573","19,976","20,377","20,772","21,158",,,
Quetzaltenango,Cantel,"38,122","39,183","40,267","41,380","42,526","43,695","44,879","46,068","47,268","48,484","49,707","50,928","52,137",,,
Quetzaltenango,Huitán,"12,734","13,177","13,633","14,105","14,594","15,096","15,610","16,132","16,665","17,209","17,763","18,322","18,884",,,
Quetzaltenango,Zuníl,"12,212","12,356","12,499","12,644","12,791","12,937","13,080","13,217","13,349","13,478","13,602","13,718","13,824",,,
