LON,LAT,LON,LAT
-91.93489,15.162558,-91.93489,14.73405
-89.495736,14.73405,-89.495736,14.584054
-90.496631,14.584054,-90.496631,14.60772
-90.60347,14.60772,-90.60347,14.62235
-90.50511,14.62235,-90.50511,14.499611
-90.052088,14.499611,-90.052088,15.16739
-90.85345,15.16739,-90.85345,15.16739
-90.853446,15.16739,-90.853446,16.10807
-89.36846,16.10807,-89.36846,14.622026
-91.586797,14.622026,-91.586797,14.850449
-91.500919,14.850449,-91.500919,14.850449
-91.500919,14.850449,-91.500919,14.57438
-90.44438,14.57438,-90.44438,14.911278
-92.042806,14.911278,-92.042806,15.711473
-91.883915,15.711473,-91.883915,15.38897
-90.63275,15.38897,-90.63275,15.38897
-90.63275,15.38897,-90.63275,14.455328
-89.464434,14.455328,-89.464434,14.879417
-92.127417,14.879417,-92.127417,14.03672
-91.30887,14.03672,-91.30887,14.587098
-90.625344,14.587098,-90.625344,14.969361
-91.763136,14.969361,-91.763136,14.57737
-90.69508,14.57737,-90.69508,14.91847
-89.95972,14.91847,-89.95972,14.6455
-90.51849,14.6455,-90.51849,14.58871
-90.48965,14.58871,-90.48965,15.11531
-89.37411,15.11531,-89.37411,16.96934
-89.92015,16.96934,-89.92015,14.890887
-90.582863,14.890887,-90.582863,14.890887
-90.582863,14.890887,-90.582863,15.60908
-91.57178,15.60908,-91.57178,16.83443
-90.54157,16.83443,-90.54157,14.49075
-90.62808,14.49075,-90.62808,14.76289
-90.12325,14.76289,-90.12325,16.51733
-90.64278,16.51733,-90.64278,14.51192688
-90.60617051,14.51192688,-90.60617051,14.65802
-90.47656,14.65802,-90.47656,14.671739
-90.416728,14.671739,-90.416728,14.67175
-90.4165,14.67175,-90.4165,13.886128
-90.464864,13.886128,-90.464864,14.80787
-91.48928,14.80787,-91.48928,14.93823
-89.878,14.93823,-89.878,16.66554
-90.29276,16.66554,-90.29276,14.63865
-90.522712,14.63865,-90.522712,13.93795
-90.72717,13.93795,-90.72717,14.86092
-89.4997,14.86092,-89.4997,14.78781
-89.555748,14.78781,-89.555748,14.60505
-90.520268,14.60505,-90.520268,14.55934
-90.72715,14.55934,-90.72715,14.583524
-90.504285,14.583524,-90.504285,14.61501
-90.51091,14.61501,-90.51091,14.39962
-91.31957,14.39962,-91.31957,14.86217
-90.01756,14.86217,-90.01756,14.62887
-90.61055,14.62887,-90.61055,14.967878
-89.534674,14.967878,-89.534674,14.84146
-91.50744,14.84146,-91.50744,14.887368
-91.583244,14.887368,-91.583244,14.463278
-90.371028,14.463278,-90.371028,14.53427
-90.50852,14.53427,-90.50852,14.52489
-90.56742,14.52489,-90.56742,14.64344
-90.791415,14.64344,-90.791415,15.17581
-91.73674,15.17581,-91.73674,14.687128
-90.645954,14.687128,-90.645954,14.97631
-89.80267,14.97631,-89.80267,14.976305
-89.802674,14.976305,-89.802674,14.56665
-90.48126,14.56665,-90.48126,14.14289
-90.66389,14.14289,-90.66389,14.53945
-90.52354,14.53945,-90.52354,14.652583
-90.122003,14.652583,-90.122003,14.620339
-90.499918,14.620339,-90.499918,14.79327
-90.79387,14.79327,-90.79387,14.67694
-91.77594,14.67694,-91.77594,14.55872
-90.13669,14.55872,-90.13669,14.648938
-91.557814,14.648938,-91.557814,15.345725
-91.089995,15.345725,-91.089995,14.62119
-90.56467,14.62119,-90.56467,17.258611
-90.980417,17.258611,-90.980417,17.25861
-90.98042,17.25861,-90.98042,14.91627
-90.02255,14.91627,-90.02255,14.73442
-89.57103,14.73442,-89.57103,14.490243
-90.62026,14.490243,-90.62026,14.18925
-91.30868,14.18925,-91.30868,14.50178
-90.5672,14.50178,-90.5672,14.820359
-91.538774,14.820359,-91.538774,14.314812
-90.793407,14.314812,-90.793407,14.65753
-90.54147,14.65753,-90.54147,14.63468
-90.59335,14.63468,-90.59335,14.634682
-90.593339,14.634682,-90.593339,14.577548
-90.520324,14.577548,-90.520324,15.23589
-91.96733,15.23589,-91.96733,14.40378
-90.70296,14.40378,-90.70296,14.592468
-90.520855,14.592468,-90.520855,14.597327
-90.539864,14.597327,-90.539864,15.681503
-91.663693,15.681503,-91.663693,14.580167
-90.105789,14.580167,-90.105789,14.53223
-90.55062,14.53223,-90.55062,14.537805
-90.394421,14.537805,-90.394421,14.536558
-90.430424,14.536558,-90.430424,15.691608
-91.433434,15.691608,-91.433434,14.28519
-90.79797,14.28519,-90.79797,14.820359
-91.538774,14.820359,-91.538774,14.579502
-91.584665,14.579502,-91.584665,14.670633
-90.467842,14.670633,-90.467842,14.67062
-90.46785,14.67062,-90.46785,15.40699
-91.9445,15.40699,-91.9445,15.1495
-92.07353,15.1495,-92.07353,14.52486
-90.19026,14.52486,-90.19026,14.787067
-89.62485,14.787067,-89.62485,14.78707
-89.62485,14.78707,-89.62485,14.314812
-90.793407,14.314812,-90.793407,14.634
-90.56853,14.634,-90.56853,16.34139
-89.42867,16.34139,-89.42867,14.180853
-90.843093,14.180853,-90.843093,14.51194
-90.60594,14.51194,-90.60594,14.625806
