LON,LAT
-90.54487,14.53428
-90.583417,14.534455
-90.583417,14.534455
-90.583417,14.534455
-90.583417,14.534455
-90.583417,14.534455
-90.583417,14.534455
-90.583417,14.534455
-90.56838,14.6407
-90.56838,14.6407
-90.56838,14.6407
-90.568387,14.640701
-90.56838,14.6407
-90.836389,14.061889
-90.47272611,14.65279244
-90.47272611,14.65279244
-90.50467051,14.60492688
-90.51864216,14.58617425
-91.195174,15.126418
-91.411776,15.388025
-90.49117,14.6915
-90.491167,14.6915
-90.491167,14.6915
-90.49117,14.6915
-90.49117,14.6915
-90.49117,14.6915
-90.49117,14.6915
-90.55723,14.49067
-90.55723,14.49067
-90.557226,14.490669
-90.534939,14.702578
-91.763027,15.409942
-91.763027,15.409942
-91.32,15.33639
-91.640865,15.323469
-89.59005,14.9254
-90.51832,14.58526
-90.363666,15.473839
-91.538444,14.851222
-91.538444,14.851222
-91.538444,14.851222
-91.538444,14.851222
-91.538444,14.851222
-91.538444,14.851222
-91.538444,14.851222
-91.538444,14.851222
-91.538444,14.851222
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.640865,15.323469
-91.640865,15.323469
-91.640865,15.323469
-91.472718,15.316526
-91.472718,15.316526
-91.770611,15.649847
-90.4773,14.4088
-91.0235,14.3365
-90.88078,14.07364
-90.563821,14.636751
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.521056,14.835694
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.526884,14.850111
-91.58758,14.79327
-92.029194,15.372389
-91.729444,14.251583
-91.11836,14.79272
-91.664639,14.628722
-91.35435,14.23408
-91.603224,14.230168
-91.603224,14.230168
-91.711139,15.065361
-90.91807,14.56187
-91.548114,14.661388
-90.79904,14.68131
-91.13392,14.18464
-91.595583,14.859389
-91.595583,14.859389
-91.595583,14.859389
-91.595583,14.859389
